Reference, Value, Footprint, Datasheet, Description, Farnell Part, Farnell URL, Field4, Field5, Field6, Field7, Field8
"MK1","M2.5","MountingHole:MountingHole_2.7mm_M2.5",""
"MK3","M2.5","MountingHole:MountingHole_2.7mm_M2.5",""
"MK2","M2.5","MountingHole:MountingHole_2.7mm_M2.5",""
"MK4","M2.5","MountingHole:MountingHole_2.7mm_M2.5",""
"P1","Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","","Raspberry Pi 2/3 B+ 40-pin GPIO Header","","","","","","",""
"X1","X1G0044810050_SG7050CAN_2.048_MHZ","prj_lib_fp:SG0705","http://www.farnell.com/datasheets/1841779.pdf","","2442953","http://se.farnell.com/epson/x1g0044810050-sg7050can-2-048-mhz/oscillator-spxo-sg7050can-2-048/dp/2442953","","","","",""
"C1","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"U1","ADS1299-4PAG","prj_lib_fp:xQFP_64_to_2.54mm_adapter","http://www.ti.com/lit/ds/symlink/ads1299-4.pdf","Low-Noise, 4-Channel, 24-Bit Analog-to-Digital Converter for Biopotential Measurements 64-TQFP -40 to 85","2707750","http://se.farnell.com/texas-instruments/ads1299-4pag/adc-quad-24-bits-16ksps-tqfp-64/dp/2707750","","","","",""
"J1","Conn_02x04_Odd_Even","Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm","~"
"R2","10k","Resistors_SMD:R_0805_HandSoldering","~"
"R1","10k","Resistors_SMD:R_0805_HandSoldering","~"
"C46","10uF","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Hand","~"
"C61","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C47","100uF","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Hand","~"
"C48","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C49","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C50","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C51","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C53","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"U5","TPS73233DBVT","SOT95P280X145-5N","Texas Instruments","","","","Cap-Free, NMOS, 250mA Low Dropout Regulator with Reverse Current Protection 5-SOT-23 -40 to 125","SOT-23-5 Texas Instruments","TPS73233DBVT","Good","1.02 USD"
"C3","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C7","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C11","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C35","10nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C39","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C42","2.2uF","Capacitors_SMD:C_0805_HandSoldering","~"
"U4","TPS73225DBVT","SOT95P280X145-5N","Texas Instruments","","","","Cap-Free, NMOS, 250mA Low Dropout Regulator with Reverse Current Protection 5-SOT-23 -40 to 125","SOT-23-5 Texas Instruments","TPS73225DBVT","",""
"C2","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C6","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C10","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C38","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C41","2.2uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C44","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C34","10nF","Capacitors_SMD:C_0805_HandSoldering","~"
"U3","TPS72325DBVT","SOT95P280X145-5N","Texas Instruments","","","","200mA, Negative Output Low-Dropout Linear Regulator 5-SOT-23 -40 to 125","SOT-23-5 Texas Instruments","TPS72325DBVT","Good","2.14 USD"
"U2","TPS60403DBVR","SOT95P280X145-5N","0.83 USD","","","","Good","Texas Instruments","60mA Charge Pump Voltage Inverter with Fixed 250kHz Operation 5-SOT-23 -40 to 85","TPS60403DBVR","SOT-23-5 Texas Instruments"
"C4","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C8","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C12","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C32","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C36","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C5","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C9","2.2uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C37","10uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C40","2.2uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C43","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C33","10nF","Capacitors_SMD:C_0805_HandSoldering","~"
"J9","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~"
"SW1","SW_DIP_x01","Buttons_Switches_THT:SW_PUSH_6mm_h5mm",""
"SW2","SW_DIP_x01","Buttons_Switches_THT:SW_PUSH_6mm_h5mm",""
"U6","CAT24C256","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","https://www.onsemi.cn/PowerSolutions/document/CAT24C256-D.PDF"
"J11","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~"
"R26","10k","Resistors_SMD:R_0805_HandSoldering","~"
"R27","3.9k","Resistors_SMD:R_0805_HandSoldering","~"
"R29","3.9k","Resistors_SMD:R_0805_HandSoldering","~"
"R30","1k","Resistors_SMD:R_0805_HandSoldering","~"
"D1","LED","LEDs:LED_D3.0mm","~"
"C45","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"J8","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","~"
"C29","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C28","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R18","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R19","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C27","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C26","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R16","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R17","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C25","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C24","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R14","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R15","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C23","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C22","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R12","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R13","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C31","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C30","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R20","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R21","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"J6","Conn_01x01","TestPoint:TestPoint_Pad_D2.0mm","~"
"J10","Conn_01x01","TestPoint:TestPoint_Pad_D2.0mm","~"
"R22","10k","Resistors_SMD:R_0805_HandSoldering","~"
"J7","INT_CLK","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~"
"R28","10k","Resistors_SMD:R_0805_HandSoldering","~"
"R25","10k","Resistors_SMD:R_0805_HandSoldering","~"
"R24","10k","Resistors_SMD:R_0805_HandSoldering","~"
"R23","10k","Resistors_SMD:R_0805_HandSoldering","~"
"J3","Conn_02x04_Odd_Even","Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm","~"
"C19","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C18","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R8","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R9","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C17","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C16","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R6","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R7","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C15","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C14","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R4","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R5","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C13","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R3","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"C21","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C20","4.7nF","Capacitors_SMD:C_0805_HandSoldering","~"
"R10","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"R11","4.99k 1%","Resistors_SMD:R_0805_HandSoldering","~"
"J5","Data Header","Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm","~"
"J12","Conn_01x01","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J4","Conn_01x01","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","~"
"J2","Conn_02x20_Odd_Even","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm","~"
"Rf1","1M","Resistors_SMD:R_0805_HandSoldering","~"
"Cf1","1.5nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C54","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C52","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"R31","1k","Resistors_SMD:R_0805_HandSoldering","~"
"D2","LED","LEDs:LED_D3.0mm","~"
"C55","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C56","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C57","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C58","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
"C59","1uF","Capacitors_SMD:C_0805_HandSoldering","~"
"C60","100nF","Capacitors_SMD:C_0805_HandSoldering","~"
